name_with_owner,stargazers,created_at,pushed_at,primary_language,releases_total,issues_total,issues_closed_total,pull_requests_merged_total
codecrafters-io/build-your-own-x,541609,2018-05-09T12:03:18Z,2026-07-14T19:25:58Z,Markdown,0,950,677,157
sindresorhus/awesome,498228,2014-07-11T13:42:37Z,2026-08-18T13:28:50Z,,0,368,352,701
public-apis/public-apis,467166,2016-03-20T23:49:42Z,2026-08-19T21:44:19Z,Python,0,940,910,2153
freeCodeCamp/freeCodeCamp,454370,2014-12-24T17:49:19Z,2026-08-20T18:46:54Z,TypeScript,0,22080,21916,29136
EbookFoundation/free-programming-books,394867,2013-10-11T06:50:37Z,2026-08-18T14:16:15Z,Python,0,1293,1255,7424
openclaw/openclaw,386910,2025-11-24T10:16:47Z,2026-08-20T23:03:28Z,TypeScript,234,47744,44214,26663
donnemartin/system-design-primer,365112,2017-02-26T16:15:28Z,2026-03-20T01:52:19Z,Python,0,402,127,210
nilbuild/developer-roadmap,365012,2017-03-15T13:45:52Z,2026-08-20T12:45:59Z,TypeScript,1,3185,3185,4400
jwasham/coding-interview-university,359348,2016-06-06T02:34:12Z,2025-08-28T14:42:47Z,,0,536,455,415
vinta/awesome-python,315148,2014-06-27T21:00:06Z,2026-08-16T13:31:43Z,Python,0,0,0,741
awesome-selfhosted/awesome-selfhosted,313961,2015-06-01T02:33:17Z,2026-08-20T18:45:11Z,,1,0,0,0
practical-tutorials/project-based-learning,280129,2017-04-12T05:07:46Z,2026-08-17T06:46:47Z,Python,0,240,88,194
996icu/996.ICU,276730,2019-03-26T07:31:14Z,2025-08-22T06:01:29Z,,0,0,0,1072
obra/superpowers,274909,2025-10-09T19:45:18Z,2026-08-19T17:33:23Z,Shell,12,857,755,167
react/react,247447,2013-05-24T16:15:54Z,2026-08-19T17:57:20Z,JavaScript,132,14624,13801,13035
torvalds/linux,243440,2011-09-04T22:48:12Z,2026-08-20T22:37:46Z,C,0,0,0,0
affaan-m/ECC,241439,2026-01-18T00:51:51Z,2026-08-19T23:31:56Z,JavaScript,15,711,667,998
trimstray/the-book-of-secret-knowledge,239422,2018-06-23T10:43:14Z,2024-11-19T14:00:38Z,,0,0,0,122
NousResearch/hermes-agent,233527,2025-07-22T22:22:28Z,2026-08-20T22:19:39Z,Python,28,22888,11388,11403
mattpocock/skills,226331,2026-02-03T11:15:53Z,2026-08-20T10:35:33Z,Shell,7,680,311,94
TheAlgorithms/Python,223901,2016-07-16T09:44:01Z,2026-08-03T18:44:56Z,Python,0,1749,1606,3088
vuejs/vue,210249,2013-07-29T03:24:51Z,2024-10-10T07:24:15Z,TypeScript,249,10034,9670,1136
ossu/computer-science,208253,2014-05-04T00:18:39Z,2026-07-14T05:38:25Z,HTML,0,675,658,315
multica-ai/andrej-karpathy-skills,204371,2026-01-27T03:53:13Z,2026-04-20T10:05:04Z,,0,0,0,12
n8n-io/n8n,201372,2019-06-22T09:24:21Z,2026-08-20T22:26:13Z,TypeScript,770,10057,9712,20277
anomalyco/opencode,199539,2025-04-30T20:08:00Z,2026-08-20T23:04:46Z,TypeScript,861,24227,20238,7411
tensorflow/tensorflow,197108,2015-11-07T01:19:20Z,2026-08-20T23:01:25Z,C++,222,41701,40941,48928
trekhleb/javascript-algorithms,196522,2018-03-24T07:47:04Z,2026-07-26T02:43:08Z,JavaScript,0,373,238,309
ultraworkers/claw-code,195087,2026-03-31T08:58:08Z,2026-08-16T06:18:45Z,Rust,0,2211,2195,143
DigitalPlatDev/FreeDomain,194549,2024-05-30T13:23:00Z,2026-08-12T10:36:46Z,Markdown,0,0,0,0
ohmyzsh/ohmyzsh,189269,2009-08-28T18:15:37Z,2026-08-20T08:43:08Z,Shell,0,5079,4925,3655
microsoft/vscode,188992,2015-09-03T20:23:38Z,2026-08-20T23:01:02Z,TypeScript,234,251302,233726,52240
massgravel/Microsoft-Activation-Scripts,187728,2020-01-12T23:03:34Z,2026-07-04T16:54:38Z,Batchfile,31,1075,1067,7
Significant-Gravitas/AutoGPT,186687,2023-03-16T09:21:07Z,2026-08-20T22:58:56Z,Python,117,3936,3650,4783
yt-dlp/yt-dlp,185877,2020-10-26T04:22:55Z,2026-08-20T22:26:03Z,Python,136,11940,9969,3418
CyC2018/CS-Notes,185521,2018-02-13T14:56:24Z,2024-08-21T09:40:10Z,,0,579,449,374
jackfrued/Python-100-Days,185450,2018-03-01T16:05:52Z,2026-07-29T15:18:29Z,Jupyter Notebook,0,729,193,13
getify/You-Dont-Know-JS,184702,2013-11-16T02:37:24Z,2026-02-15T04:36:44Z,,0,947,947,370
avelino/awesome-go,181708,2014-07-06T13:42:15Z,2026-08-20T13:14:59Z,Go,0,759,736,3882
ollama/ollama,179058,2023-06-26T19:39:32Z,2026-08-20T23:03:13Z,Go,246,11028,8602,3537
flutter/flutter,178531,2015-03-06T22:54:58Z,2026-08-20T23:00:16Z,Dart,7,115249,102688,49695
github/gitignore,175376,2010-11-08T20:17:14Z,2026-07-23T16:06:45Z,,0,0,0,1779
microsoft/markitdown,174924,2024-11-13T19:56:40Z,2026-08-19T19:36:22Z,Python,20,572,181,184
twbs/bootstrap,174620,2011-07-29T21:19:00Z,2026-08-20T22:40:02Z,MDX,94,22944,22839,9488
deepseek-ai/deepseek-harness,174169,2026-08-13T11:56:32Z,2026-08-19T15:37:57Z,TypeScript,2,0,0,0
521xueweihan/HelloGitHub,171971,2016-05-04T06:24:11Z,2026-08-02T07:58:25Z,Python,68,3325,2709,17
anthropics/skills,170680,2025-09-22T15:53:31Z,2026-08-18T16:02:06Z,Python,0,366,49,50
firecrawl/firecrawl,170080,2024-04-15T21:02:29Z,2026-08-20T23:00:39Z,TypeScript,35,959,886,1951
f/prompts.chat,167649,2022-12-05T13:54:13Z,2026-08-20T03:20:51Z,HTML,0,173,152,236
AUTOMATIC1111/stable-diffusion-webui,164588,2022-08-22T14:05:26Z,2026-03-02T07:00:53Z,Python,27,7912,5491,1875
huggingface/transformers,164283,2018-10-29T13:56:00Z,2026-08-20T23:03:27Z,Python,269,19338,18468,20231
jlevy/the-art-of-command-line,162142,2015-05-20T15:11:03Z,2024-06-25T18:13:44Z,,0,264,138,317
Snailclimb/JavaGuide,157908,2018-05-07T13:27:00Z,2026-08-18T13:05:40Z,JavaScript,0,1158,1100,1270
langflow-ai/langflow,153513,2023-02-08T22:28:03Z,2026-08-20T23:04:54Z,Python,304,3425,3209,7341
langgenius/dify,153049,2023-04-12T07:40:24Z,2026-08-20T19:15:29Z,TypeScript,168,18666,18372,13476
open-webui/open-webui,149386,2023-10-06T22:08:27Z,2026-08-20T20:37:53Z,Python,167,9407,9217,4080
airbnb/javascript,148121,2012-11-01T23:13:50Z,2026-04-16T19:24:09Z,JavaScript,0,1416,1316,822
Genymobile/scrcpy,147987,2017-11-21T18:00:27Z,2026-08-17T10:27:07Z,C,52,6149,3355,153
msitarzewski/agency-agents,146784,2025-10-13T12:12:29Z,2026-08-06T13:29:47Z,Shell,0,145,87,222
langchain-ai/langchain,144651,2022-10-17T02:58:36Z,2026-08-20T20:06:15Z,Python,1000,10033,9703,17285
x1xhlol/system-prompts-and-models-of-ai-tools,142950,2025-03-05T16:38:29Z,2026-08-11T13:01:09Z,,0,212,121,52
anthropics/claude-code,142142,2025-02-22T17:41:21Z,2026-08-20T20:33:50Z,Python,194,85648,71532,162
yangshun/tech-interview-handbook,142035,2016-07-05T05:00:48Z,2026-08-07T12:06:42Z,TypeScript,0,126,92,494
vercel/next.js,141882,2016-10-05T23:32:51Z,2026-08-20T22:50:17Z,JavaScript,1000,25217,23402,28257
ytdl-org/youtube-dl,140976,2010-10-31T14:35:07Z,2026-02-19T16:45:25Z,Python,341,26831,23205,1646
clash-verge-rev/clash-verge-rev,139087,2023-11-21T18:24:03Z,2026-08-20T19:46:30Z,TypeScript,67,5815,5428,1016
microsoft/PowerToys,137911,2019-05-01T17:44:02Z,2026-08-20T22:19:38Z,C,142,41176,33784,7013
iptv-org/iptv,136239,2018-11-14T22:00:57Z,2026-08-20T16:35:39Z,TypeScript,0,34860,34569,6999
golang/go,135932,2014-08-19T04:33:40Z,2026-08-20T20:44:02Z,Go,0,72914,63301,1
